QuestionID,AlternativesID,AlternativeText,VerifyID
1101,1111,Xerox imprimir trabalho,1,
1101,1121,Jogar um truco pra passar o tempo,0,
1101,1131,Fofocar com o pessoal da limpeza,0,
1102,1112,Passar na UFSC,0,
1102,1122,Arranjar um amor,0,
1102,1132,Ganhar extra score no laboratório do Anésio,1,
1103,1113,Pois é um bloco só,0,
1103,1123,Pois é onde ocorre as aulas das fases finais do técnico,0,
1103,1133,Pois é onde ocorre as aulas das fases iniciais do técnico,1,
1201,1211,Paulo Ricardo Rangel,0,
1201,1221,Alexandre Leizor Szczupak,0,
1201,1231,Cláudio Hibbert,1,
1202,1212,Gisele Luz,0,
1202,1222,Gizelle Kaminski,1,
1202,1232,Gizely Cesconetto,0,
1203,1223,Química,1,
1203,1223,Matemática,0,
1203,1233,Biologia,0,
1301,1311,Pois viram rebeldes e não se reportam a ninguém,0,
1301,1321,Passam a se reportar ao departamento de seus cursos,1,
1301,1331,Passam a se reportar diretamente a coordenação do campus,0,
1302,1312,Pegar um papelzinho de atraso no fluxo,1,
1302,1322,Arranjar uma briga com o professor para assistir a aula,0,
1302,1332,Entrar acompanhado dos responsáveis,0,
1303,1313,Almox,1,
1303,1323,Almoxerife,0,
1303,1333,Alma do xari fado,0,
1401,1411,Deslocamento de pessoas com dificuldades de locomoção,1,
1401,1421,Deslocamento de pessoas com preguiça,0,
1401,1431,Deslocamento de pessoas com dificuldades familiar,0,
1402,1412,Marcos Paulo,0,
1402,1422,Albertinho,0,
1402,1432,Waldyrzinho,1,
1403,1413,Eurides,0,
1403,1423,Marcos Paulo,1,
1403,1433,Paula,0,
1501,1511,Cantina,0,
1501,1521,Refeitorio,1,
1501,1531,Praça de Alimentação,0,
1502,1512,Bandeiras,1,
1502,1522,Mastro de bandeira,0,
1502,1532,Local para se sentar,0,
1503,1513,Informação,0,
1503,1523,Computadores,1,
1503,1533,Laboratório para diluir substâncias,0,
1601,1611,Sala de aula,0,
1601,1621,Almox,1,
1601,1631,Hall de entrada,0,
1602,1612,Cameras para gravar as jogadas,0,
1602,1622,Traves para gol,0,
1602,1632,Cestas de basquete,1,
1603,1613,Caixinha de som (JBL),1,
1603,1623,Medalhas,0,
1603,1633,Pote com as lágrimas dos adversários,0,
1701,1711,Joao Goulart,1,
1701,1721,Jânio Quadros,0,
1701,1731,Luiz Inácio,0,
1702,1712,Lá o Wi-fi do campus pega melhor,1,
1702,1722,Ele gosta do frio da parede,0,
1702,1732,Ele está com covid 19 e mantendo seu afastamento social,0,
1703,1713,Aulas de Reposição,1,
1703,1723,Grande vontade de aprender por parte dos alunos,0,
1703,1733,Tortura por parte dos professores,0,
1801,1811,Comprar coquinha gelada pois é gelado e ajuda com a dor,0,
1801,1821,Chamar o SAMU,0,
1801,1831,Ir até a enfermaria onde será muito bem atendido,1,
1802,1812,IFSC - Visitante,1,
1802,1822,IFSC - Alunos,0,
1802,1832,IFSC - Professores,0,
1803,1813,Quadra fechada,1,
1803,1823,Quadra aberta,0,
1803,1833,Quadra de futset,0,
1901,1911,Paciência,0,
1901,1921,Poker,0,
1901,1931,Truco,1,
1902,1912,Tênis de mesa,0,
1902,1922,Lançamento de dardo,1,
1902,1932,Salto a distância,0,
1903,1913,30%,0,
1903,1923,25%,1,
1903,1933,20%,0,
1001,1011,A primeira tia da limpeza que aparecer,0,
1001,1021,O apoio pedagógico,1,
1001,1031,Um amigo que não tem instruções para ajudar alguém,0,
1002,1012,André Luís Dalcastagnê,1,
1002,1022,Matheus Leitzke Pinto,0,
1002,1032,Alexandre Leizor Szczupak,0,
1003,1013,Química,1,
1003,1023,Eletrotécnica,0,
1003,1033,Edificações,0,
2101,2111,Diamante,0,
2101,2121,Adamantium,1,
2101,2131,Vibranium,0,
2102,2112,Engenheiro Civil,0,
2102,2122,Arquiteto,1,
2102,2132,Pedreiro,0,
2103,2113,Matilha,1,
2103,2123,Manada,0,
2103,2133,Alcateia,0,
2201,2211,Equilátero,0,
2201,2221,Isósceles,0,
2201,2231,Escaleno,1,
2202,2212,Veneno,0,
2202,2222,Veia,1,
2202,2232,Vela,0,
2203,2223,Estômago,0,
2203,2223,Pâncreas,0,
2203,2233,Boca,1,
2301,2311,12 Signos,1,
2301,2321,10 Signos,0,
2301,2331,14 Signos,0,
2302,2312,Curupira,0,
2302,2322,Saci Perere,1,
2302,2332,Boitatá,0,
2303,2313,Papagaio,0,
2303,2323,Arara,1,
2303,2333,Tucano,0,
2401,2411,Repercussão,0,
2401,2421,Percussão,0,
2401,2431,Cordas,1,
2402,2412,Espanha,1,
2402,2422,França,0,
2402,2432,Bélgica,0,
2403,2413,Chicago,0,
2403,2423,Nova York,0,
2403,2433,Washington,1,
2501,2511,Arnold Schwarzenegger,0,
2501,2521,Sylvester Stallone,1,
2501,2531,Jean-Claude Van Damme,0,
2502,2512,Rocky Balboa,0,
2502,2522,Apollo Creed,1,
2502,2532,Ivan Drago,0,
2503,2513,Adonis Creed,0,
2503,2523,Rocky Balboa,0,
2503,2533,Ivan Drago,1,
2601,2611,Nauru e China,0,
2601,2621,São Marino e Índia,0,
2601,2631,Vaticano e Rússia,1,
2602,2612,6 contando o goleiro,0,
2602,2622,10 contando o goleiro,0,
2602,2632,7 contando o goleiro,1,
2603,2613,Cubana,0,
2603,2623,Argentina,1,
2603,2633,Boliviana,0,
2701,2711,Pico da Neblina,1,
2701,2721,Pico Paraná,0,
2701,2731,Pico Maior de Friburgo,0,
2702,2712,Montesquieu,0,
2702,2722,Maquiavel,1,
2702,2732,Thomas Hobbes,0,
2703,2713,Brasil,0,
2703,2723,Rússia,1,
2703,2733,Estados Unidos,0,
2801,2811,Oceano Atlântico,0,
2801,2821,Oceano Índico,1,
2801,2831,Oceano Ártico,0,
2802,2812,Cobre,0,
2802,2822,Ouro,1,
2802,2832,Manganês,0,
2803,2813,Leonardo da Vinci,0,
2803,2823,Michelangelo,1,
2803,2833,Donatello,0,
2901,2911,Pink Floyd,0,
2901,2921,The Police,0,
2901,2931,The Doors,1,
2902,2912,Norueguesa,0,
2902,2922,Inglesa,0,
2902,2932,Francesa,1,
2903,2913,Diana, a Princesa de Gales,1,
2903,2923,Carlota Joaquina,0,
2903,2933,Joana d’Arc,0,
2001,2011,Marie Curie,1,
2001,2021,Elizabeth Blackweel,0,
2001,2031,Madre Teresa de Calcutá,0,
2002,2012,Decapitado,0,
2002,2022,Enforcado,1,
2002,2032,Suicídio,0,
2003,2013,Alemanha,0,
2003,2023,Áustria,0,
2003,2033,Polônia,1,
